No.,Time,Source,Destination,Protocol,Length,Info,Len
15,0.100338,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=13138 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494846",2896
16,0.100391,172.28.0.10,172.28.0.20,TCP,78,[TCP Window Update] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=16034,0
17,0.100452,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=16034 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494847",2896
18,0.10046,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 11#1] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=18930,0
19,0.100462,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=18930 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494847",2896
20,0.100466,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 11#2] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=21826,0
21,0.100468,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=21826 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494847",2896
22,0.100472,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 11#3] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=24722,0
23,0.100474,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=24722 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494847",2896
24,0.100478,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 11#4] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=27618,0
25,0.10048,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=27618 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494847",2896
26,0.100484,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 11#5] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=30514,0
27,0.100486,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=30514 Ack=1 Win=64512 Len=2896 TSval=1939598160 TSecr=3899494847",2896
28,0.10049,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 11#6] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=92160 Len=0 TSval=3899494897 TSecr=1939598109 SLE=11690 SRE=33410,0
29,0.100625,172.28.0.20,172.28.0.10,TCP,54,51854  >  5000 [RST] Seq=1 Win=0 Len=0,0
30,0.116369,172.28.0.20,172.28.0.10,TCP,1514,[TCP Fast Retransmission] 55206  >  5000 [ACK] Seq=8794 Ack=1 Win=64512 Len=1448 TSval=1939598176 TSecr=3899494847,1448
31,0.1164,172.28.0.10,172.28.0.20,TCP,78,5000  >  55206 [ACK] Seq=1 Ack=10242 Win=91136 Len=0 TSval=3899494913 TSecr=1939598176 SLE=11690 SRE=33410,0
