"No.","Time","Source","Destination","Protocol","Length","Info"
"117","1.544452","172.28.0.10","172.28.0.20","TCP","78","5000  >  37376 [ACK] Seq=1 Ack=147802 Win=96256 Len=0 TSval=3899641074 TSecr=1939744286 SLE=150698 SRE=153594"
"118","1.572577","172.28.0.20","172.28.0.10","TCP","2962","[TCP Retransmission] 37376  >  5000 [PSH, ACK] Seq=147802 Ack=1 Win=64512 Len=2896 TSval=1939744315 TSecr=3899640973"
"119","1.572630","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=153594 Win=93184 Len=0 TSval=3899641102 TSecr=1939744315"
"120","1.644513","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=153594 Ack=1 Win=64512 Len=2896 TSval=1939744387 TSecr=3899641074"
"121","1.644562","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=156490 Win=96256 Len=0 TSval=3899641174 TSecr=1939744387"
"122","1.672688","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=156490 Ack=1 Win=64512 Len=2896 TSval=1939744415 TSecr=3899641102"
"123","1.672735","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=159386 Win=96256 Len=0 TSval=3899641202 TSecr=1939744415"
"124","1.744736","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=159386 Ack=1 Win=64512 Len=2896 TSval=1939744487 TSecr=3899641174"
"125","1.744784","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=162282 Win=96256 Len=0 TSval=3899641274 TSecr=1939744487"
"126","1.744787","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=162282 Ack=1 Win=64512 Len=1448 TSval=1939744487 TSecr=3899641174"
"127","1.772906","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=163730 Ack=1 Win=64512 Len=2896 TSval=1939744515 TSecr=3899641202"
